Species,salinity,organic.matter,rep,day.0,day.3,day.6,day.13,day.17,day.21,day.28
Ipomea,12,0,3,0,0,0.4,0.4,0.4,0.4,0.4
Ipomea,4,1,1,0,0.4,0.6,0.6,0.6,0.6,0.6
Ipomea,4,1,2,0,0.4,0.4,0.4,0.4,0.4,0.4
Ipomea,4,1,3,0,0.8,0.8,0.8,0.8,0.8,0.8
Ipomea,8,1,1,0,0.6,0.8,0.8,1,1,1
Ipomea,8,1,2,0,0.6,0.8,0.8,0.8,0.8,0.8
Ipomea,8,1,3,0,1,1,1,1,1,1
Ipomea,12,1,1,0,0.4,1,1,1,1,1
Ipomea,12,1,2,0,0,0,0,0,0,0
Ipomea,12,1,3,0,0.2,0.2,0.4,0.4,0.4,0.4
Ipomea,4,2,1,0,0.8,1,1,1,1,1
Ipomea,4,2,2,0,0.8,0.8,0.8,0.8,0.8,0.8
Ipomea,4,2,3,0,1,1,1,1,1,1
Ipomea,8,2,1,0,0.6,1,1,1,1,1
Ipomea,8,2,2,0,0.4,0.8,0.8,0.8,0.8,0.8
Ipomea,8,2,3,0,0.6,0.6,0.8,0.8,0.8,0.8
Ipomea,12,2,1,0,0,0.4,0.6,0.6,0.6,0.6
Ipomea,12,2,2,0,0,0.4,0.6,0.6,0.6,0.6
Ipomea,12,2,3,0,0.4,0.4,0.8,0.8,0.8,0.8
